ID,State,City,Death,Injury,School Type,Name School,Day,Year,Month Name,Month
187,Ohio,Lyndhurst,0,0,High,Charles F. Brush High School,10,2014,Feb,2
188,Ohio,Middletown,0,4,High,Madison High School,29,2016,Feb,2
189,Ohio,West Liberty,0,1,High,West Liberty-Salem High School,20,2017,Jan,1
190,Ohio,Willoughby,0,0,High,South High School,2,2008,Sep,9
191,Oregon,Eugene,1,0,Middle,Cascade Middle School ,11,2019,Jan,1
192,Oregon,Eugene,1,0,College,Lane Community College,4,2019,May,5
193,Oregon,Portland,0,4,High,Rosemary Anderson High School,12,2014,Dec,12
194,Oregon,Roseburg,0,1,High,Roseburg High School,23,2006,Feb,2
195,Oregon,Roseburg,10,9,College,Umpqua Community College,1,2015,Oct,10
196,Oregon,Troutdale,2,1,High,Reynolds High School,10,2014,Jun,6
197,Pennsylvania,Chester,0,1,University,Widener University,20,2014,Jan,1
199,Pennsylvania,Philadelphia,0,2,High,Delaware Valley Charter School,17,2014,Jan,1
200,Pennsylvania,Philadelphia,0,0,High,Franklin High School,29,2016,Jan,1
201,Pennsylvania,Philadelphia,1,0,High,Lincoln High School,31,2018,Jan,1
202,Pennsylvania,Pittsburgh,0,5,University,Duquesne University,17,2006,Sep,9
203,Pennsylvania,Pittsburgh,0,3,High,Brashear High School,13,2013,Nov,11
204,Pennsylvania,Red Lion,2,0,High,Red Lion Area Junior High School ,24,2003,Apr,4
205,Pennsylvania,Williamsport,0,1,High,Neumann High School,7,2001,Mar,3
206,RhodeIsland,Providence,1,1,Institute,Providence Career and Technical Academy,5,2018,Sep,9
207,SouthCarolina,Orangeburg,1,0,University,South Carolina State University,24,2014,Jan,1
208,SouthCarolina,Townville,2,2,Elementary,Townville Elementary School ,28,2016,Sep,9
209,SouthDakota,Harrisburg,0,1,High,Harrisburg High School ,30,2015,Sep,9
211,Tennessee,Jacksboro,1,2,High,Campbell County High School,8,2005,Nov,11
212,Tennessee,Jackson,0,1,High,Technology Magnet High School ,9,2014,Jan,1
213,Tennessee,Knoxville,1,0,High,Central High School,21,2008,Aug,8
214,Tennessee,Memphis,0,1,High,Mitchell High School,11,2008,Feb,2
215,Tennessee,Memphis,0,1,High,Hamilton High School,4,2008,Feb,2
216,Tennessee,Memphis,0,2,High,Hamilton High School ,16,2012,Aug,8
217,Tennessee,Memphis,0,1,High,Fairley High School,10,2018,Sep,9
218,Tennessee,Memphis,0,1,High,Manassas High School,31,2019,Jan,1
219,Tennessee,Nashville,0,1,University,Tennessee State University,28,2014,Jan,1
220,Tennessee,Nashville,1,3,University,Tennessee State University,22,2015,Oct,10
221,Tennessee,Nashville,0,1,High,Pearl-Cohn High School,9,2018,Feb,2
222,Texas,Alpine,1,2,High,Alpine High School,9,2016,Sep,9
223,Texas,Austin,1,1,University,University of Texas ,28,2010,Sep,9
224,Texas,Denison,0,0,College,Grayson College,10,2018,Jan,1
225,Texas,Edinburg,0,2,Middle,Harwell Middle School ,9,2011,Dec,12
226,Texas,Houston,1,5,High,Worthing High School,31,2011,Mar,3
227,Texas,Houston,0,1,High,North Forest High School,10,2012,Jan,1
228,Texas,Houston,0,3,College,Lone Star College–North Harris,22,2013,Jan,1
229,Texas,Houston,1,1,University,Texas Southern University,9,2015,Oct,10
230,Texas,Humble,0,1,High,Atascocita High School,31,2019,Jan,1
231,Texas,Irving,2,0,College,North Lake College,4,2017,May,5
232,Texas,Italy,0,1,High,Italy High School,22,2018,Jan,1
233,Texas,Prairie View,0,0,University,Prairie View A&M University,30,2019,Jan,1
234,Texas,Santa Fe,10,13,High,Santa Fe High School ,18,2018,May,5
235,Texas,Texas City,0,3,College,College of the Mainland,25,2019,Apr,4
237,Utah,Sandy,0,1,Middle,Union Middle School,25,2016,Oct,10
238,Utah,Taylorsville,0,1,Elementary,Westbrook Elementary School,11,2014,Sep,9
239,Vermont,Essex Junction,2,3,Elementary,Essex Elementary School ,24,2006,Aug,8
240,Virginia,Blacksburg,33,23,University,Virginia Tech,16,2007,Apr,4
241,Virginia,Blacksburg,2,0,University,Radford University,8,2011,Dec,12
242,Virginia,Christiansburg,0,2,College,New River Community College,12,2013,Apr,4
243,Virginia,Grundy,3,3,University,Appalachian School of Law,16,2002,Jan,1
244,Virginia,Hampton,0,3,University,Hampton University,26,2009,Apr,4
